Approved_Symbol,Date_Name_Changed,Previous_Symbol,Synonyms,Linked_Genes
RING1B,,,RNF2|BAP-1|BAP1|DING|HIPI3|RING2,RNF2|BAP-1|BAP1|DING|HIPI3|RING2
RING2,,,RNF2|BAP-1|BAP1|DING|HIPI3|RING1B,RNF2|BAP-1|BAP1|DING|HIPI3|RING1B
RNF20,2015-11,,FLJ20382|FLJ11189|KAIA2779|BRE1A|hBRE1|BRE1,FLJ20382|FLJ11189|KAIA2779|BRE1A|hBRE1|BRE1
FLJ20382,2015-11,,RNF20|FLJ11189|KAIA2779|BRE1A|hBRE1|BRE1,RNF20|FLJ11189|KAIA2779|BRE1A|hBRE1|BRE1
FLJ11189,2015-11,,RNF20|FLJ20382|KAIA2779|BRE1A|hBRE1|BRE1,RNF20|FLJ20382|KAIA2779|BRE1A|hBRE1|BRE1
KAIA2779,2015-11,,RNF20|FLJ20382|FLJ11189|BRE1A|hBRE1|BRE1,RNF20|FLJ20382|FLJ11189|BRE1A|hBRE1|BRE1
BRE1A,2015-11,,RNF20|FLJ20382|FLJ11189|KAIA2779|hBRE1|BRE1,RNF20|FLJ20382|FLJ11189|KAIA2779|hBRE1|BRE1
hBRE1,2015-11,,RNF20|FLJ20382|FLJ11189|KAIA2779|BRE1A|BRE1,RNF20|FLJ20382|FLJ11189|KAIA2779|BRE1A|BRE1
BRE1,2015-11,,RNF20|FLJ20382|FLJ11189|KAIA2779|BRE1A|hBRE1,RNF20|FLJ20382|FLJ11189|KAIA2779|BRE1A|hBRE1
TRIM34,2011-01,RNF21,,RNF21
TRIM3,2011-01,RNF22,HAC1|BERP|RNF97,RNF22|HAC1|BERP|RNF97
HAC1,2011-01,RNF22,TRIM3|BERP|RNF97,RNF22|TRIM3|BERP|RNF97
BERP,2011-01,RNF22,TRIM3|HAC1|RNF97,RNF22|TRIM3|HAC1|RNF97
RNF97,2011-01,RNF22,TRIM3|HAC1|BERP,RNF22|TRIM3|HAC1|BERP
TRIM39,2011-01,RNF23,,RNF23
PCGF3,2005-01,RNF3,FLJ36550|DONG1|RNF3A|MGC40413,RNF3|FLJ36550|DONG1|RNF3A|MGC40413
FLJ36550,2005-01,RNF3,PCGF3|DONG1|RNF3A|MGC40413,RNF3|PCGF3|DONG1|RNF3A|MGC40413
DONG1,2005-01,RNF3,PCGF3|FLJ36550|RNF3A|MGC40413,RNF3|PCGF3|FLJ36550|RNF3A|MGC40413
RNF3A,2005-01,RNF3,PCGF3|FLJ36550|DONG1|MGC40413,RNF3|PCGF3|FLJ36550|DONG1|MGC40413
MGC40413,2005-01,RNF3,PCGF3|FLJ36550|DONG1|RNF3A,RNF3|PCGF3|FLJ36550|DONG1|RNF3A
RNF4,,,RES4-26|SNURF|SLX5,RES4-26|SNURF|SLX5
RES4-26,,,RNF4|SNURF|SLX5,RNF4|SNURF|SLX5
SNURF,,,RNF4|RES4-26|SLX5,RNF4|RES4-26|SLX5
SLX5,,,RNF4|RES4-26|SNURF,RNF4|RES4-26|SNURF
RNF5,2016-04,,NG2|G16|RING5|RMA1,NG2|G16|RING5|RMA1
NG2,2016-04,,RNF5|G16|RING5|RMA1,RNF5|G16|RING5|RMA1
G16,2016-04,,RNF5|NG2|RING5|RMA1,RNF5|NG2|RING5|RMA1
RING5,2016-04,,RNF5|NG2|G16|RMA1,RNF5|NG2|G16|RMA1
RMA1,2016-04,,RNF5|NG2|G16|RING5,RNF5|NG2|G16|RING5
RNF6,2016-04,,DKFZp686P0776,DKFZp686P0776
DKFZp686P0776,2016-04,,RNF6,RNF6
NBEAP1,2011-05,BCL8,BCL8A,BCL8|BCL8A
BCL8A,2011-05,BCL8,NBEAP1,BCL8|NBEAP1
RNF7,,,SAG|ROC2|CKBBP1,SAG|ROC2|CKBBP1
SAG,,,RNF7|ROC2|CKBBP1,RNF7|ROC2|CKBBP1
ROC2,,,RNF7|SAG|CKBBP1,RNF7|SAG|CKBBP1
CKBBP1,,,RNF7|SAG|ROC2,RNF7|SAG|ROC2
RNF8,2016-03,,KIAA0646,KIAA0646
KIAA0646,2016-03,,RNF8,RNF8
TRIM10,2011-01,RNF9,RFB30|HERF1,RNF9|RFB30|HERF1
RFB30,2011-01,RNF9,TRIM10|HERF1,RNF9|TRIM10|HERF1
HERF1,2011-01,RNF9,TRIM10|RFB30,RNF9|TRIM10|RFB30
RNGTT,,,HCE|HCE1|hCAP,HCE|HCE1|hCAP
HCE,,,RNGTT|HCE1|hCAP,RNGTT|HCE1|hCAP
HCE1,,,RNGTT|HCE|hCAP,RNGTT|HCE|hCAP
hCAP,,,RNGTT|HCE|HCE1,RNGTT|HCE|HCE1
RNH1,2005-06,RNH,RAI,RNH|RAI
RAI,2005-06,RNH,RNH1,RNH|RNH1
RNMT,2016-04,,RG7MT1,RG7MT1
RG7MT1,2016-04,,RNMT,RNMT
RNN,,,,
RNNL,,,,
RNPEP,2016-01,,APB,APB
APB,2016-01,,RNPEP,RNPEP
RNPEPL1,2016-06,,,
BCL9,,,,
RNPS1,2016-04,,,
RNPU1Z,,,,
RNR1,2017-02,,,
RNR2,2017-02,,,
RNR3,2017-02,,,
RNR4,2017-02,,,
RNR5,2017-02,,,
RNRP1,,,,
RNRP2,,,,
RNS1,,,,
BCMA,,,,
RNS2,,,,
RNS3,,,,
RNS4,,,,
RNS4I,,,,
RNS6,,,,
RNU1,,,,
SNORD80,2006-05,RNU100,Z15|U80,RNU100|Z15|U80
Z15,2006-05,RNU100,SNORD80|U80,RNU100|SNORD80|U80
U80,2006-05,RNU100,SNORD80|Z15,RNU100|SNORD80|Z15
SNORD4A,2006-04,RNU101A,Z17A|mgh18S-121,RNU101A|Z17A|mgh18S-121
Z17A,2006-04,RNU101A,SNORD4A|mgh18S-121,RNU101A|SNORD4A|mgh18S-121
mgh18S-121,2006-04,RNU101A,SNORD4A|Z17A,RNU101A|SNORD4A|Z17A
SNORD4B,2006-04,RNU101B,Z17B,RNU101B|Z17B
Z17B,2006-04,RNU101B,SNORD4B,RNU101B|SNORD4B
SNORD102,2006-05,RNU102,U102,RNU102|U102
U102,2006-05,RNU102,SNORD102,RNU102|SNORD102
ASIC3,2015-12,ACCN3,TNaC1|DRASIC,ACCN3|TNaC1|DRASIC
